,map_simple_use,premise_age,premise_floor_count,weighted_average_height
0,Mixed Use,1837-1869,1,10.17735849056604
1,Mixed Use,1837-1869,2,9.825764192139738
2,Mixed Use,1837-1869,3,13.063819095477388
3,Mixed Use,1837-1869,4,17.618656716417906
4,Mixed Use,1837-1869,5,20.66470588235294
5,Mixed Use,1837-1869,6,22.44
6,Mixed Use,1837-1869,7,23.4
7,Mixed Use,1837-1869,9,7.4
8,Mixed Use,1870-1918,1,9.155798687089716
9,Mixed Use,1870-1918,11,9.7
10,Mixed Use,1870-1918,13,10.1
11,Mixed Use,1870-1918,15,8.3
12,Mixed Use,1870-1918,16,11.6
13,Mixed Use,1870-1918,2,9.377725284339457
14,Mixed Use,1870-1918,20,8.7
15,Mixed Use,1870-1918,3,11.299887450759709
16,Mixed Use,1870-1918,4,15.206219512195123
17,Mixed Use,1870-1918,5,18.666406250000005
18,Mixed Use,1870-1918,6,21.36851851851852
19,Mixed Use,1870-1918,7,22.625
20,Mixed Use,1870-1918,8,35.86666666666667
21,Mixed Use,1870-1918,9,32.7
22,Mixed Use,1919-1944,1,9.247732696897375
23,Mixed Use,1919-1944,"1,2",9.60157894736842
24,Mixed Use,1919-1944,"1,2,3",12.141666666666667
25,Mixed Use,1919-1944,"1,2,3,6",14.4
26,Mixed Use,1919-1944,"1,3",11.633333333333335
27,Mixed Use,1919-1944,"1,4",35.8
28,Mixed Use,1919-1944,"1,4,5",15.5
29,Mixed Use,1919-1944,"1,7",21.0
30,Mixed Use,1919-1944,10,28.799999999999997
31,Mixed Use,1919-1944,"10,3",33.0
32,Mixed Use,1919-1944,12,7.75
33,Mixed Use,1919-1944,13,19.433333333333334
34,Mixed Use,1919-1944,17,13.9
35,Mixed Use,1919-1944,2,9.707774390539669
36,Mixed Use,1919-1944,"2,3",12.04804469273743
37,Mixed Use,1919-1944,"2,3,4",20.15
38,Mixed Use,1919-1944,"2,4",16.174999999999997
39,Mixed Use,1919-1944,"2,7",25.1
40,Mixed Use,1919-1944,"2,Undetermined",19.9
41,Mixed Use,1919-1944,20,9.82
42,Mixed Use,1919-1944,3,12.326888101960273
43,Mixed Use,1919-1944,"3,4",19.13448275862069
44,Mixed Use,1919-1944,"3,4,7",27.7
45,Mixed Use,1919-1944,"3,5",15.5
46,Mixed Use,1919-1944,"3,6",9.3
47,Mixed Use,1919-1944,"3,8",29.2
48,Mixed Use,1919-1944,"3,Undetermined",8.3
49,Mixed Use,1919-1944,4,16.29355450236967
50,Mixed Use,1919-1944,"4,40",19.9
51,Mixed Use,1919-1944,"4,5",21.119999999999997
52,Mixed Use,1919-1944,"4,6",40.6
53,Mixed Use,1919-1944,"4,7",31.9
54,Mixed Use,1919-1944,"4,8",27.1
55,Mixed Use,1919-1944,40,18.4
56,Mixed Use,1919-1944,5,20.518301610541727
57,Mixed Use,1919-1944,"5,6",28.73333333333333
58,Mixed Use,1919-1944,"5,7",27.933333333333334
59,Mixed Use,1919-1944,"5,Undetermined",21.9
60,Mixed Use,1919-1944,50,10.033333333333333
61,Mixed Use,1919-1944,6,26.720125786163518
62,Mixed Use,1919-1944,"6,7",27.6
63,Mixed Use,1919-1944,7,29.533333333333335
64,Mixed Use,1919-1944,"7,9",40.8
65,Mixed Use,1919-1944,8,33.877272727272725
66,Mixed Use,1919-1944,9,32.93529411764706
67,Mixed Use,1919-1944,92,8.8625
68,Mixed Use,1919-1944,93,10.425
69,Mixed Use,"1919-1944,1945-1959",1,9.05
70,Mixed Use,"1919-1944,1945-1959","1,2",9.90984251968504
71,Mixed Use,"1919-1944,1945-1959","1,2,3",13.1125
72,Mixed Use,"1919-1944,1945-1959","1,2,3,4",38.2
73,Mixed Use,"1919-1944,1945-1959","1,2,4",15.233333333333334
74,Mixed Use,"1919-1944,1945-1959","1,3",13.737209302325583
75,Mixed Use,"1919-1944,1945-1959","1,3,4",35.35
76,Mixed Use,"1919-1944,1945-1959","1,5",20.0
77,Mixed Use,"1919-1944,1945-1959",2,10.274074074074074
78,Mixed Use,"1919-1944,1945-1959","2,3",12.70467289719626
79,Mixed Use,"1919-1944,1945-1959","2,3,4",22.520000000000003
80,Mixed Use,"1919-1944,1945-1959","2,3,8",28.7
81,Mixed Use,"1919-1944,1945-1959","2,4",20.366666666666667
82,Mixed Use,"1919-1944,1945-1959","2,5",14.1
83,Mixed Use,"1919-1944,1945-1959","2,6",20.5
84,Mixed Use,"1919-1944,1945-1959","2,7",28.5
85,Mixed Use,"1919-1944,1945-1959","2,Undetermined",16.4
86,Mixed Use,"1919-1944,1945-1959",3,14.243661971830985
87,Mixed Use,"1919-1944,1945-1959","3,4",20.657894736842106
88,Mixed Use,"1919-1944,1945-1959","3,4,5",8.1
89,Mixed Use,"1919-1944,1945-1959","3,5",19.2
90,Mixed Use,"1919-1944,1945-1959","3,5,7",25.8
91,Mixed Use,"1919-1944,1945-1959","3,7",39.4
92,Mixed Use,"1919-1944,1945-1959","3,8",34.1
93,Mixed Use,"1919-1944,1945-1959","3,Undetermined",23.5
94,Mixed Use,"1919-1944,1945-1959",4,18.8875
95,Mixed Use,"1919-1944,1945-1959","4,5",22.3875
96,Mixed Use,"1919-1944,1945-1959","4,6",20.85
97,Mixed Use,"1919-1944,1945-1959","4,7",30.4
98,Mixed Use,"1919-1944,1945-1959",5,26.04
99,Mixed Use,"1919-1944,1945-1959","5,6",25.666666666666668
100,Mixed Use,"1919-1944,1945-1959","6,7",29.399999999999995
101,Mixed Use,"1919-1944,1945-1959,1980-1989",1,12.7
102,Mixed Use,"1919-1944,1945-1959,1980-1989","1,2",10.590909090909092
103,Mixed Use,"1919-1944,1945-1959,1980-1989","1,2,3",14.233333333333334
104,Mixed Use,"1919-1944,1945-1959,1980-1989",2,13.833333333333334
105,Mixed Use,"1919-1944,1945-1959,1980-1989","2,3",13.100000000000001
