,map_simple_use,premise_age,height_bucket,weighted_average_floor_count
2,Mixed Use,1837-1869,3-4m,2.0
3,Mixed Use,1837-1869,4-5m,1.5
4,Mixed Use,1837-1869,5-6m,2.0
5,Mixed Use,1837-1869,6-7m,1.9
6,Mixed Use,1837-1869,7-8m,2.372093023255814
7,Mixed Use,1837-1869,8-9m,2.0
8,Mixed Use,1837-1869,9-10m,2.09
9,Mixed Use,1837-1869,10-12m,2.4453125
10,Mixed Use,1837-1869,12-14m,2.7217391304347824
11,Mixed Use,1837-1869,14-18m,3.2845528455284554
12,Mixed Use,1837-1869,18-20m,3.9565217391304346
13,Mixed Use,1837-1869,20-30m,4.17910447761194
14,Mixed Use,1837-1869,30-40m,4.0
15,Mixed Use,1837-1869,40-50m,4.5
37,Mixed Use,1870-1918,2-3m,2.0
38,Mixed Use,1870-1918,3-4m,1.4727272727272727
39,Mixed Use,1870-1918,4-5m,2.0294117647058822
40,Mixed Use,1870-1918,5-6m,1.731958762886598
41,Mixed Use,1870-1918,6-7m,1.9923076923076923
42,Mixed Use,1870-1918,7-8m,2.0703764320785596
43,Mixed Use,1870-1918,8-9m,2.078402366863905
44,Mixed Use,1870-1918,9-10m,2.107374856706152
45,Mixed Use,1870-1918,10-12m,2.5338148391332895
46,Mixed Use,1870-1918,12-14m,3.013480392156863
47,Mixed Use,1870-1918,14-18m,3.3748271092669433
48,Mixed Use,1870-1918,18-20m,4.122448979591836
49,Mixed Use,1870-1918,20-30m,4.348360655737705
50,Mixed Use,1870-1918,30-40m,4.9375
51,Mixed Use,1870-1918,40-50m,5.6
52,Mixed Use,1870-1918,50-100m,2.0
54,Mixed Use,1919-1944,0-2m,2.2564102564102564
55,Mixed Use,1919-1944,2-3m,2.1354166666666665
56,Mixed Use,1919-1944,3-4m,2.2664692820133236
57,Mixed Use,1919-1944,4-5m,2.2579098753595397
58,Mixed Use,1919-1944,5-6m,2.169246646026832
59,Mixed Use,1919-1944,6-7m,2.155566600397614
60,Mixed Use,1919-1944,7-8m,2.0827119819663604
61,Mixed Use,1919-1944,8-9m,2.091491171026962
62,Mixed Use,1919-1944,9-10m,2.166246118012422
63,Mixed Use,1919-1944,10-12m,2.42040679730785
64,Mixed Use,1919-1944,12-14m,2.742605487115396
65,Mixed Use,1919-1944,14-18m,3.076963706330642
66,Mixed Use,1919-1944,18-20m,3.5176415970287835
67,Mixed Use,1919-1944,20-30m,3.75399889685604
68,Mixed Use,1919-1944,30-40m,4.798283261802575
69,Mixed Use,1919-1944,40-50m,5.5
70,Mixed Use,1919-1944,50-100m,2.6929133858267718
71,Mixed Use,1919-1944,100-200m,2.0
75,Mixed Use,"1919-1944,1945-1959",4-5m,2.0
76,Mixed Use,"1919-1944,1945-1959",5-6m,2.0
77,Mixed Use,"1919-1944,1945-1959",6-7m,1.875
78,Mixed Use,"1919-1944,1945-1959",7-8m,2.076923076923077
79,Mixed Use,"1919-1944,1945-1959",8-9m,2.0384615384615383
80,Mixed Use,"1919-1944,1945-1959",9-10m,2.0588235294117645
81,Mixed Use,"1919-1944,1945-1959",10-12m,2.215686274509804
82,Mixed Use,"1919-1944,1945-1959",12-14m,2.75
83,Mixed Use,"1919-1944,1945-1959",14-18m,2.8048780487804876
84,Mixed Use,"1919-1944,1945-1959",18-20m,3.4
85,Mixed Use,"1919-1944,1945-1959",20-30m,3.4545454545454546
86,Mixed Use,"1919-1944,1945-1959",30-40m,5.0
98,Mixed Use,"1919-1944,1945-1959,1980-1989",9-10m,2.0
100,Mixed Use,"1919-1944,1945-1959,1980-1989",12-14m,1.0
103,Mixed Use,"1919-1944,1945-1959,1980-1989",20-30m,2.0
104,Mixed Use,"1919-1944,1945-1959,1980-1989",30-40m,5.0
121,Mixed Use,"1919-1944,1945-1959,1980-1989,Pre 1919",20-30m,3.0
152,Mixed Use,"1919-1944,1945-1959,1990-1999",9-10m,2.0
204,Mixed Use,"1919-1944,1945-1959,Pre 1919",7-8m,1.6666666666666667
205,Mixed Use,"1919-1944,1945-1959,Pre 1919",8-9m,2.5
206,Mixed Use,"1919-1944,1945-1959,Pre 1919",9-10m,2.0
207,Mixed Use,"1919-1944,1945-1959,Pre 1919",10-12m,2.25
208,Mixed Use,"1919-1944,1945-1959,Pre 1919",12-14m,2.6666666666666665
209,Mixed Use,"1919-1944,1945-1959,Pre 1919",14-18m,2.6666666666666665
210,Mixed Use,"1919-1944,1945-1959,Pre 1919",18-20m,2.75
211,Mixed Use,"1919-1944,1945-1959,Pre 1919",20-30m,2.75
214,Mixed Use,"1919-1944,1945-1959,Pre 1919",50-100m,6.0
