map_simple_use,premise_age,height_bucket,total_count,global_average_fc
Mixed Use,1837-1869,0-2m,0,
Mixed Use,1837-1869,10-12m,116,2.560344827586207
Mixed Use,1837-1869,100-200m,0,
Mixed Use,1837-1869,12-14m,67,3.343283582089552
Mixed Use,1837-1869,14-16m,47,3.4468085106382977
Mixed Use,1837-1869,16-18m,50,3.88
Mixed Use,1837-1869,18-20m,37,4.216216216216216
Mixed Use,1837-1869,2-3m,0,
Mixed Use,1837-1869,20-25m,39,4.435897435897436
Mixed Use,1837-1869,25-30m,9,5.444444444444445
Mixed Use,1837-1869,3-4m,0,
Mixed Use,1837-1869,30-35m,0,
Mixed Use,1837-1869,35-40m,0,
Mixed Use,1837-1869,4-5m,1,1.0
Mixed Use,1837-1869,40-45m,0,
Mixed Use,1837-1869,45-50m,0,
Mixed Use,1837-1869,5-6m,5,1.8
Mixed Use,1837-1869,50-55m,0,
Mixed Use,1837-1869,55-60m,0,
Mixed Use,1837-1869,6-7m,9,2.0
Mixed Use,1837-1869,60-70m,0,
Mixed Use,1837-1869,7-8m,39,2.1025641025641026
Mixed Use,1837-1869,70-80m,0,
Mixed Use,1837-1869,8-9m,134,2.0671641791044775
Mixed Use,1837-1869,80-90m,0,
Mixed Use,1837-1869,9-10m,183,2.158469945355191
Mixed Use,1837-1869,90-100m,0,
Mixed Use,"1837-1869,Pre 1919",0-2m,0,
Mixed Use,"1837-1869,Pre 1919",10-12m,0,
Mixed Use,"1837-1869,Pre 1919",100-200m,0,
Mixed Use,"1837-1869,Pre 1919",12-14m,0,
Mixed Use,"1837-1869,Pre 1919",14-16m,0,
Mixed Use,"1837-1869,Pre 1919",16-18m,0,
Mixed Use,"1837-1869,Pre 1919",18-20m,0,
Mixed Use,"1837-1869,Pre 1919",2-3m,0,
Mixed Use,"1837-1869,Pre 1919",20-25m,0,
Mixed Use,"1837-1869,Pre 1919",25-30m,0,
Mixed Use,"1837-1869,Pre 1919",3-4m,0,
Mixed Use,"1837-1869,Pre 1919",30-35m,0,
Mixed Use,"1837-1869,Pre 1919",35-40m,0,
Mixed Use,"1837-1869,Pre 1919",4-5m,0,
Mixed Use,"1837-1869,Pre 1919",40-45m,0,
Mixed Use,"1837-1869,Pre 1919",45-50m,0,
Mixed Use,"1837-1869,Pre 1919",5-6m,0,
Mixed Use,"1837-1869,Pre 1919",50-55m,0,
Mixed Use,"1837-1869,Pre 1919",55-60m,0,
Mixed Use,"1837-1869,Pre 1919",6-7m,0,
Mixed Use,"1837-1869,Pre 1919",60-70m,0,
Mixed Use,"1837-1869,Pre 1919",7-8m,0,
Mixed Use,"1837-1869,Pre 1919",70-80m,0,
Mixed Use,"1837-1869,Pre 1919",8-9m,0,
Mixed Use,"1837-1869,Pre 1919",80-90m,0,
Mixed Use,"1837-1869,Pre 1919",9-10m,0,
Mixed Use,"1837-1869,Pre 1919",90-100m,0,
Mixed Use,1870-1918,0-2m,0,
Mixed Use,1870-1918,10-12m,1468,2.5790190735694822
Mixed Use,1870-1918,100-200m,0,
Mixed Use,1870-1918,12-14m,581,3.440619621342513
Mixed Use,1870-1918,14-16m,318,3.8144654088050314
Mixed Use,1870-1918,16-18m,210,4.114285714285714
Mixed Use,1870-1918,18-20m,148,4.54054054054054
Mixed Use,1870-1918,2-3m,0,
Mixed Use,1870-1918,20-25m,161,4.701863354037267
Mixed Use,1870-1918,25-30m,23,5.3478260869565215
Mixed Use,1870-1918,3-4m,34,1.0
Mixed Use,1870-1918,30-35m,3,7.333333333333333
Mixed Use,1870-1918,35-40m,2,6.0
Mixed Use,1870-1918,4-5m,4,1.0
