,map_simple_use,height_bucket,total_count2,sum_weighted_fc,weighted_average_floor_count
1,Mixed Use,10-12m,52782,131218.0,2.4860369065211625
2,Mixed Use,100-200m,3,112.0,37.333333333333336
3,Mixed Use,12-14m,28066,86623.0,3.0864034775172806
4,Mixed Use,14-16m,18309,59852.0,3.2689933912283577
5,Mixed Use,16-18m,11989,42308.0,3.528901493035282
6,Mixed Use,18-20m,4150,17344.0,4.179277108433735
7,Mixed Use,2-3m,12,12.0,1.0
8,Mixed Use,20-25m,4261,19248.0,4.5172494719549405
9,Mixed Use,25-30m,1261,7269.0,5.7644726407613005
10,Mixed Use,3-4m,666,666.0,1.0
11,Mixed Use,30-35m,354,2552.0,7.209039548022599
12,Mixed Use,35-40m,158,1254.0,7.936708860759493
13,Mixed Use,4-5m,203,203.0,1.0
14,Mixed Use,40-45m,102,1014.0,9.941176470588236
15,Mixed Use,45-50m,35,355.0,10.142857142857142
16,Mixed Use,5-6m,2252,4201.0,1.8654529307282415
17,Mixed Use,50-55m,12,161.0,13.416666666666666
18,Mixed Use,55-60m,8,124.0,15.5
19,Mixed Use,6-7m,4445,8865.0,1.9943757030371203
20,Mixed Use,60-70m,8,128.0,16.0
21,Mixed Use,7-8m,13202,27207.0,2.060824117557946
22,Mixed Use,70-80m,4,88.0,22.0
23,Mixed Use,8-9m,41623,87706.0,2.107152295605795
24,Mixed Use,80-90m,6,154.0,25.666666666666668
25,Mixed Use,9-10m,57686,125488.0,2.1753631730402523
26,Mixed Use,90-100m,1,26.0,26.0
28,Non Residential,10-12m,60036,136173.0,2.268189086548071
29,Non Residential,100-200m,19,616.0,32.421052631578945
30,Non Residential,12-14m,18930,60778.0,3.2106708927628103
31,Non Residential,14-16m,13571,46394.0,3.418613219364822
32,Non Residential,16-18m,10346,37529.0,3.6273922288807268
33,Non Residential,18-20m,3491,15989.0,4.580063019192209
34,Non Residential,2-3m,7305,7305.0,1.0
35,Non Residential,20-25m,5390,26265.0,4.8729128014842304
36,Non Residential,25-30m,2853,16702.0,5.854188573431475
37,Non Residential,3-4m,40861,40861.0,1.0
38,Non Residential,30-35m,1005,7361.0,7.324378109452736
39,Non Residential,35-40m,562,4742.0,8.437722419928825
40,Non Residential,4-5m,29680,29680.0,1.0
41,Non Residential,40-45m,276,2714.0,9.833333333333334
42,Non Residential,45-50m,177,1908.0000000000002,10.779661016949154
43,Non Residential,5-6m,42411,52304.0,1.23326495484662
44,Non Residential,50-55m,69,892.0,12.927536231884059
45,Non Residential,55-60m,60,825.0,13.75
46,Non Residential,6-7m,18572,33848.0,1.822528537583459
47,Non Residential,60-70m,68,1091.0,16.044117647058822
48,Non Residential,7-8m,28068,56644.0,2.0180989026649567
49,Non Residential,70-80m,41,726.0,17.70731707317073
50,Non Residential,8-9m,56682,115828.0,2.043470590310857
51,Non Residential,80-90m,33,721.0,21.848484848484848
52,Non Residential,9-10m,66562,139197.0,2.0912382440431476
53,Non Residential,90-100m,17,441.0,25.941176470588236
55,Residential,10-12m,1505635,3356800.0,2.229491211349364
56,Residential,100-200m,30,1291.0,43.03333333333333
57,Residential,12-14m,146748,488827.0,3.331064137160302
58,Residential,14-16m,69012,260306.0,3.7718947429432563
59,Residential,16-18m,44556,180035.0,4.040645479845588
60,Residential,18-20m,19376,90484.0,4.669900908340215
61,Residential,2-3m,74,74.0,1.0
62,Residential,20-25m,16644,85538.0,5.139269406392694
63,Residential,25-30m,3222,21762.0,6.754189944134078
64,Residential,3-4m,3748156,3748156.0,1.0
65,Residential,30-35m,1407,13114.0,9.320540156361051
66,Residential,35-40m,700,8344.0,11.92
67,Residential,4-5m,50090,50090.0,1.0
68,Residential,40-45m,403,5580.0,13.846153846153847
69,Residential,45-50m,361,5573.0,15.437673130193906
70,Residential,5-6m,801553,1401591.0,1.7485942913319519
71,Residential,50-55m,170,2938.9999999999995,17.288235294117644
72,Residential,55-60m,119,2281.0,19.168067226890756
73,Residential,6-7m,1026212,2045303.0,1.9930608880036484
74,Residential,60-70m,175,3860.9999999999995,22.06285714285714
75,Residential,7-8m,2641117,5320058.0,2.0143212133351156
76,Residential,70-80m,57,1407.0,24.68421052631579
77,Residential,8-9m,8543229,17259994.0,2.0203126944156593
78,Residential,80-90m,15,411.0,27.4
79,Residential,9-10m,4496505,9167258.0,2.0387518750674136
80,Residential,90-100m,9,268.0,29.77777777777778
