shapefile,extent,crs
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/dh.shp,[ 168195.45286606 6071254.62976361  218979.57900543 6096068.38018122],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/sa.shp,[ -98381.41811704 5728224.67799398   48335.81172211 5814636.86818484],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/sw.shp,[ 272078.40604277 5698286.69174393  284688.73586841 5711216.29059992],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/pl.shp,[ -70385.6005263  5592109.57512159   17379.75573277 5646947.72850299],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ex.shp,[ -41108.8326059  5621085.34077753   85727.92024596 5700413.4784792 ],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/rg.shp,[ 180021.32367905 5675690.19171631  243280.62287267 5728523.14842144],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/st.shp,[ 136913.12756395 5846791.84237042  178509.39802842 5904214.55173216],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/po.shp,[ 175535.22777369 5611342.22974562  246883.43984679 5654887.22377178],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/en.shp,[ 274238.14622446 5724592.76719527  297771.92764754 5740978.09425566],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/dy.shp,[ 119089.70122305 5805871.27696136  159213.63275588 5835246.63884451],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/gu.shp,[ 212162.85021921 5644401.96515719  261570.08320428 5702332.1141595 ],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/dn.shp,[ 212638.40292574 5906112.33175477  309812.57647193 5970107.69710551],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ka.shp,[ -28243.51756458 6124948.54097973   61832.39548492 6220882.9415462 ],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/sg.shp,[ 265782.98634334 5734425.63792641  302640.88297946 5789298.08501719],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/sp.shp,[ 122371.09646955 5648507.79140861  196188.68984302 5696819.38673595],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/kw.shp,[  69066.03808511 6441874.46146278  195249.56317482 6597852.54643647],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ph.shp,[ -87765.26979442 6250967.93342353  126377.23966187 6388120.79687574],EPSG:32631
